Date,Buckhorn,Jackson,Oneida,Whitesburg
2018-06-01 00:00:00,7.62,3.048,19.05,3.556
2018-06-02 00:00:00,10.16,0,0,10.414
2018-06-03 00:00:00,0,0,0,6.858
2018-06-04 00:00:00,4.318,0,0,1.27
2018-06-05 00:00:00,0,0,0,0
2018-06-06 00:00:00,0,0,0,0
2018-06-07 00:00:00,0,0,0,0
2018-06-08 00:00:00,0,0,0,0
2018-06-09 00:00:00,0,0,0,0
2018-06-10 00:00:00,0,0.762,0,8.382
2018-06-11 00:00:00,1.27,0,5.334,12.954
2018-06-12 00:00:00,3.81,22.098,3.81,22.352
2018-06-13 00:00:00,10.668,0.762,25.4,0
2018-06-14 00:00:00,2.794,0,0,1.016
2018-06-15 00:00:00,0,0,0,0
2018-06-16 00:00:00,0,0,0,0
2018-06-17 00:00:00,0,0,0,0
2018-06-18 00:00:00,0,0.254,0,0
2018-06-19 00:00:00,0,0,0,0
2018-06-20 00:00:00,0.508,0.508,0.254,0
2018-06-21 00:00:00,1.778,6.35,0,0
2018-06-22 00:00:00,10.16,21.844,6.604,4.064
2018-06-23 00:00:00,6.096,2.286,4.064,12.446
2018-06-24 00:00:00,5.08,0.254,5.08,2.032
2018-06-25 00:00:00,15.748,30.226,10.16,1.016
2018-06-26 00:00:00,22.352,25.908,29.718,60.706
2018-06-27 00:00:00,16.51,3.302,14.986,31.75
2018-06-28 00:00:00,3.048,0,5.842,1.778
2018-06-29 00:00:00,0,0,0,0
2018-06-30 00:00:00,0,0,0,0
2018-07-01 00:00:00,0,8.382,0,0
2018-07-02 00:00:00,3.048,3.556,1.524,8.128
2018-07-03 00:00:00,0,9.652,1.524,0
2018-07-04 00:00:00,0,0,0,0
2018-07-05 00:00:00,0,0,0,0
2018-07-06 00:00:00,0,7.366,0,1.27
2018-07-07 00:00:00,10.668,0,0.762,2.54
2018-07-08 00:00:00,0,0,0,0
2018-07-09 00:00:00,0,0,0,0
2018-07-10 00:00:00,0,1.27,0,0
2018-07-11 00:00:00,0,0,0.254,0
2018-07-12 00:00:00,10.414,0,10.16,0
2018-07-13 00:00:00,0,0,0,0
2018-07-14 00:00:00,0,0,0,0
2018-07-15 00:00:00,0,7.874,0,0
2018-07-16 00:00:00,0,2.794,0,11.938
2018-07-17 00:00:00,24.384,13.97,0,1.27
2018-07-18 00:00:00,15.24,0,0,33.274
2018-07-19 00:00:00,0,0,0,0
2018-07-20 00:00:00,0,23.368,0,0
